filename,vertices,edges,automorphism,original,CRGt10,CRGt100,CRGt1000
CHH_cc(1-1)_22-1,22,33,12.000000*10^0,12,39,265,2546
CHH_cc(1-1)_22-2,22,33,12.000000*10^0,9,32,271,2523
CHH_cc(2-1)_44-1,44,75,144.000000*10^0,21,72,522,5022
CHH_cc(2-1)_44-2,44,75,288.000000*10^0,19,71,521,5021
CHH_cc(2-2)_88-1,88,154,41472.000000*10^0,61,157,967,9067
CHH_cc(2-2)_88-2,88,154,41472.000000*10^0,63,179,989,9089
CHH_cc(3-2)_132-1,132,261,23887872.000000*10^0,186,270,1440,13140
CHH_cc(3-2)_132-2,132,261,11943936.000000*10^0,170,282,1470,13170
CHH_cc(3-3)_198-1,198,405,24.766946*10^10,356,478,2188,19288
CHH_cc(3-3)_198-2,198,405,8.255649*10^10,364,510,2276,19374
CHH_cc(4-3)_264-1,264,606,342378.257213*10^10,624,760,2996,25496
CHH_cc(4-3)_264-2,264,606,171189.128607*10^10,656,873,3123,25599
CHH_cc(4-4)_352-1,352,840,11.359289*10^20,2371,1707,4195,33859
CHH_cc(4-4)_352-2,352,840,4.259733*10^20,1957,1843,4486,33978
CHH_cc(5-4)_440-1,440,1170,19079243.328814*10^20,2586,2856,5553,42311
CHH_cc(5-4)_440-2,440,1170,4769810.832203*10^20,3095,2742,5754,42654
CHH_cc(5-5)_550-1,550,1525,28485.157656*10^30,8332,3359,8380,53119
CHH_cc(5-5)_550-2,550,1525,5697.031531*10^30,6853,4446,10791,53374
CHH_cc(6-5)_660-1,660,2025,172.238856*10^40,70026,30967,13695,64989
CHH_cc(6-5)_660-2,660,2025,45.930361*10^40,85078,17262,18315,64886
CHH_cc(6-6)_792-1,792,2538,11.108933*10^50,2382249,106825,25321,90535
CHH_cc(6-6)_792-2,792,2538,2.468652*10^50,4173564,62971,20373,160399
CHH_cc(7-6)_924-1,924,3255,13.586881*10^60,1814509,1979389,718964,198426
CHH_cc(7-6)_924-2,924,3255,2.264480*10^60,2427484,2080939,744130,290660
CHH_cc(7-7)_1078-1,1078,3969,49.073726*10^70,65022486,3447137,1756358,269422
