filename,vertices,edges,automorphism,original,CRGt10,CRGt100,CRGt1000
CHH_cc(1-1)_22-1,22,33,12.000000*10^0,0.000043,0.000076,0.000295,0.001761
CHH_cc(1-1)_22-2,22,33,12.000000*10^0,0.000035,0.000062,0.000261,0.001615
CHH_cc(2-1)_44-1,44,75,144.000000*10^0,0.000104,0.000155,0.000694,0.006057
CHH_cc(2-1)_44-2,44,75,288.000000*10^0,0.000068,0.000148,0.000664,0.005848
CHH_cc(2-2)_88-1,88,154,41472.000000*10^0,0.000238,0.000556,0.002958,0.027232
CHH_cc(2-2)_88-2,88,154,41472.000000*10^0,0.000399,0.000830,0.003481,0.027275
CHH_cc(3-2)_132-1,132,261,23887872.000000*10^0,0.001982,0.001450,0.007310,0.063218
CHH_cc(3-2)_132-2,132,261,11943936.000000*10^0,0.001833,0.002020,0.007656,0.063344
CHH_cc(3-3)_198-1,198,405,24.766946*10^10,0.004467,0.003633,0.016700,0.143299
CHH_cc(3-3)_198-2,198,405,8.255649*10^10,0.006299,0.005970,0.021320,0.149855
CHH_cc(4-3)_264-1,264,606,342378.257213*10^10,0.020006,0.010505,0.030232,0.251804
CHH_cc(4-3)_264-2,264,606,171189.128607*10^10,0.025393,0.020106,0.042010,0.259058
CHH_cc(4-4)_352-1,352,840,11.359289*10^20,0.403048,0.144739,0.069421,0.453955
CHH_cc(4-4)_352-2,352,840,4.259733*10^20,0.282144,0.184854,0.135389,0.472542
CHH_cc(5-4)_440-1,440,1170,19079243.328814*10^20,0.454715,0.425457,0.150403,0.709060
CHH_cc(5-4)_440-2,440,1170,4769810.832203*10^20,0.662961,0.365606,0.191402,0.804578
CHH_cc(5-5)_550-1,550,1525,28485.157656*10^30,4.109168,0.529077,0.880969,1.283195
CHH_cc(5-5)_550-2,550,1525,5697.031531*10^30,3.092074,1.104856,2.017733,1.358880
CHH_cc(6-5)_660-1,660,2025,172.238856*10^40,47.333429,20.326614,3.438886,2.713034
CHH_cc(6-5)_660-2,660,2025,45.930361*10^40,56.577700,9.927554,6.346242,2.634777
CHH_cc(6-6)_792-1,792,2538,11.108933*10^50,2595.246513,106.208285,16.473324,17.571536
CHH_cc(6-6)_792-2,792,2538,2.468652*10^50,4459.824732,55.751731,9.119744,86.860894
CHH_cc(7-6)_924-1,924,3255,13.586881*10^60,2404.216617,2986.580268,972.801443,149.495411
CHH_cc(7-6)_924-2,924,3255,2.264480*10^60,3320.745812,3036.068528,1010.873188,267.435161
CHH_cc(7-7)_1078-1,1078,3969,49.073726*10^70,113124.991748,6995.002998,3603.654925,335.443897
CHH_cc(7-7)_1078-2,1078,3969,7.010532*10^70,48608.000288,6966.483298,2746.338750,165.594463
ag2-11,253,1452,1597200.000000*10^0,0.000591,0.001557,0.010093,0.087451
ag2-13,351,2366,4429152.000000*10^0,0.000863,0.002285,0.013267,0.125561
ag2-16,528,4352,62668800.000000*10^0,0.013478,0.051997,0.082342,0.333267
ag2-17,595,5202,22639104.000000*10^0,0.002137,0.005634,0.031406,0.287558
ag2-19,741,7220,44446320.000000*10^0,0.003676,0.009753,0.061305,0.567052
ag2-2,10,12,24.000000*10^0,0.000028,0.000044,0.000132,0.000866
ag2-23,1081,12696,141331872.000000*10^0,0.007187,0.020241,0.120063,1.090236
ag2-25,1275,16250,468000000.000000*10^0,0.028705,0.075094,0.279441,2.201982
ag2-27,1485,20412,1117679472.000000*10^0,0.337354,0.716465,0.869133,2.743465
ag2-29,1711,25230,573629280.000000*10^0,0.015392,0.039500,0.255483,2.361680
ag2-3,21,36,432.000000*10^0,0.000039,0.000075,0.000266,0.002085
ag2-31,1953,30752,857980800.000000*10^0,0.021562,0.061160,0.369207,3.341529
ag2-32,2080,33792,5195857920.000000*10^0,0.572840,0.904752,1.442652,4.715366
ag2-37,2775,52022,2494558944.000000*10^0,0.026631,0.071704,0.440204,4.088301
ag2-4,36,80,5760.000000*10^0,0.000063,0.000133,0.000573,0.004820
ag2-41,3403,70602,4631491200.000000*10^0,0.062996,0.172395,1.066745,9.791227
ag2-43,3741,81356,6171015312.000000*10^0,0.067046,0.184666,1.130226,10.308541
ag2-47,4465,106032,1.054509*10^10,0.101747,0.282798,1.762088,15.850739
ag2-49,4851,120050,2.710633*10^10,0.611440,1.331747,5.408292,44.246819
ag2-5,55,150,12000.000000*10^0,0.000083,0.000177,0.000838,0.007207
ag2-7,105,392,98784.000000*10^0,0.000170,0.000451,0.002310,0.020706
ag2-8,136,576,677376.000000*10^0,0.000656,0.001214,0.004798,0.037140
ag2-9,171,810,933120.000000*10^0,0.000631,0.001326,0.005858,0.051619
cfi-100,1000,1500,225179.981369*10^10,3.548535,3.190492,4.367828,19.925549
cfi-102,1020,1530,450359.962737*10^10,3.539621,3.461422,5.004058,20.786619
cfi-104,1040,1560,900719.925474*10^10,3.988150,3.471393,5.398919,24.657589
cfi-106,1060,1590,1801439.850948*10^10,4.130849,4.251760,5.658651,26.079943
cfi-108,1080,1620,3602879.701896*10^10,3.626074,3.964382,6.101174,27.069678
cfi-110,1100,1650,7205759.403793*10^10,5.223665,4.811291,7.145433,29.949005
cfi-112,1120,1680,14411518.807586*10^10,5.594584,5.261509,7.181566,31.074046
cfi-114,1140,1710,28823037.615171*10^10,5.741042,5.154804,7.493559,33.635577
cfi-116,1160,1740,57646075.230342*10^10,7.231391,5.315359,8.312581,37.428559
cfi-118,1180,1770,115292150.460685*10^10,6.360689,6.893529,8.435620,39.951023
cfi-120,1200,1800,230584300.921369*10^10,7.002364,6.279516,9.641424,41.006154
cfi-122,1220,1830,461168601.842739*10^10,7.929844,6.997431,9.472017,38.144503
cfi-124,1240,1860,922337203.685478*10^10,7.382578,6.808339,9.593428,41.564551
cfi-126,1260,1890,1844674407.370955*10^10,7.946659,7.692853,10.842844,43.814066
cfi-128,1280,1920,3689348814.741910*10^10,8.270432,8.442384,11.340741,45.220321
cfi-130,1300,1950,7378697629.483821*10^10,9.928918,8.576794,13.064146,54.408936
cfi-132,1320,1980,2.951479*10^20,9.051622,9.762878,12.822093,52.109155
cfi-134,1340,2010,2.951479*10^20,10.332622,10.353291,12.924838,54.683465
cfi-136,1360,2040,5.902958*10^20,12.241273,11.686477,15.497782,59.366768
cfi-138,1380,2070,11.805916*10^20,12.426577,12.021394,14.799482,61.732428
cfi-140,1400,2100,23.611832*10^20,13.722328,12.132657,16.504086,66.209853
cfi-142,1420,2130,47.223665*10^20,11.829180,12.986883,17.461385,74.333403
cfi-144,1440,2160,94.447330*10^20,13.748953,13.256360,19.542786,78.338175
cfi-146,1460,2190,188.894659*10^20,13.504330,15.329769,19.249016,80.148210
cfi-148,1480,2220,377.789319*10^20,15.943702,14.671137,20.101720,75.195799
cfi-150,1500,2250,755.578637*10^20,16.833404,15.128082,20.878412,77.594654
cfi-152,1520,2280,1511.157275*10^20,16.721877,16.059610,21.361403,80.483485
cfi-154,1540,2310,3022.314549*10^20,18.944300,17.709550,23.570931,95.010556
cfi-156,1560,2340,6044.629098*10^20,17.093155,20.015831,23.577021,98.521510
cfi-158,1580,2370,12089.258196*10^20,22.765344,17.226624,24.866863,100.254002
cfi-160,1600,2400,24178.516392*10^20,22.548730,20.440180,26.764090,104.827053
cfi-162,1620,2430,48357.032785*10^20,20.886074,22.714437,27.788464,113.391107
